app\services\notification_service.py:95: error: "Result[Any]" has no attribute "rowcount"  [attr-defined]
app\monitoring\analyzers\code_quality_analyzer.py:11: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\code_quality_analyzer.py:15: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\code_quality_analyzer.py:19: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\code_quality_analyzer.py:24: error: Return type "Coroutine[Any, Any, list[FindingDraft]]" of "analyze" incompatible with return type "list[FindingDraft]" in supertype "app.monitoring.analyzer_base.BaseAnalyzer"  [override]
app\monitoring\analyzers\code_quality_analyzer.py:31: error: Argument 3 to "get_branch_protection" has incompatible type "str | None"; expected "str"  [arg-type]
app\monitoring\analyzers\security_analyzer.py:24: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\security_analyzer.py:28: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\security_analyzer.py:32: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\security_analyzer.py:37: error: Return type "Coroutine[Any, Any, list[FindingDraft]]" of "analyze" incompatible with return type "list[FindingDraft]" in supertype "app.monitoring.analyzer_base.BaseAnalyzer"  [override]
app\monitoring\analyzers\dependency_analyzer.py:9: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\dependency_analyzer.py:13: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\dependency_analyzer.py:17: error: Cannot override writeable attribute with read-only property  [override]
app\monitoring\analyzers\dependency_analyzer.py:22: error: Return type "Coroutine[Any, Any, list[FindingDraft]]" of "analyze" incompatible with return type "list[FindingDraft]" in supertype "app.monitoring.analyzer_base.BaseAnalyzer"  [override]
app\monitoring\analyzers\repository_activity_analyzer.py:10: error: Item "None" of "NormalizedWebhookEvent | None" has no attribute "event_type"  [union-attr]
app\monitoring\analyzers\repository_activity_analyzer.py:13: error: Item "None" of "NormalizedWebhookEvent | None" has no attribute "forced"  [union-attr]
app\monitoring\analyzers\repository_activity_analyzer.py:19: error: Item "None" of "NormalizedWebhookEvent | None" has no attribute "ref"  [union-attr]
Found 17 errors in 5 files (checked 4 source files)
